éÌóﬁ,Xç¿ïW,Yç¿ïW,Xà⁄ìÆó ,Yà⁄ìÆó ,Zà⁄ìÆó ,å¸Ç´,R,G,B,A,â°îºïù,ècîºïù,ëŒäpê¸1,ëŒäpê¸2,äpìx1,äpìx2
3,290,390,0,0,0,0,1,1,1,1,35,35,49.49747468,49.49747468,0.785398163,0.785398163
1,220,390,0,0,0,0,1,1,1,1,35,35,49.49747468,49.49747468,0.785398163,0.785398163
1,150,390,0,0,0,0,1,1,1,1,35,35,49.49747468,49.49747468,0.785398163,0.785398163
1,80,390,0,0,0,0,1,1,1,1,35,35,49.49747468,49.49747468,0.785398163,0.785398163
1,10,390,0,0,0,0,1,1,1,1,35,35,49.49747468,49.49747468,0.785398163,0.785398163
2,-60,390,0,0,0,0,1,1,1,1,35,35,49.49747468,49.49747468,0.785398163,0.785398163
3,-200,690,0,0,0,0,1,1,1,1,35,35,49.49747468,49.49747468,0.785398163,0.785398163
1,-270,690,0,0,0,0,1,1,1,1,35,35,49.49747468,49.49747468,0.785398163,0.785398163
1,-340,690,0,0,0,0,1,1,1,1,35,35,49.49747468,49.49747468,0.785398163,0.785398163
1,-410,690,0,0,0,0,1,1,1,1,35,35,49.49747468,49.49747468,0.785398163,0.785398163
1,-480,690,0,0,0,0,1,1,1,1,35,35,49.49747468,49.49747468,0.785398163,0.785398163
1,-550,690,0,0,0,0,1,1,1,1,35,35,49.49747468,49.49747468,0.785398163,0.785398163
1,-620,690,0,0,0,0,1,1,1,1,35,35,49.49747468,49.49747468,0.785398163,0.785398163
1,-690,690,0,0,0,0,1,1,1,1,35,35,49.49747468,49.49747468,0.785398163,0.785398163
2,-760,690,0,0,0,0,1,1,1,1,35,35,49.49747468,49.49747468,0.785398163,0.785398163
4,1620,990,0,0,0,0,1,1,1,1,35,35,49.49747468,49.49747468,0.785398163,0.785398163
1,1690,990,0,0,0,0,1,1,1,1,35,35,49.49747468,49.49747468,0.785398163,0.785398163
1,1760,990,0,0,0,0,1,1,1,1,35,35,49.49747468,49.49747468,0.785398163,0.785398163
1,1830,990,0,0,0,0,1,1,1,1,35,35,49.49747468,49.49747468,0.785398163,0.785398163
1,1900,990,0,0,0,0,1,1,1,1,35,35,49.49747468,49.49747468,0.785398163,0.785398163
3,1970,990,0,0,0,0,1,1,1,1,35,35,49.49747468,49.49747468,0.785398163,0.785398163
2,1690,390,0,0,0,0,1,1,1,1,35,35,49.49747468,49.49747468,0.785398163,0.785398163
1,1760,390,0,0,0,0,1,1,1,1,35,35,49.49747468,49.49747468,0.785398163,0.785398163
1,1830,390,0,0,0,0,1,1,1,1,35,35,49.49747468,49.49747468,0.785398163,0.785398163
1,1900,390,0,0,0,0,1,1,1,1,35,35,49.49747468,49.49747468,0.785398163,0.785398163
1,1970,390,0,0,0,0,1,1,1,1,35,35,49.49747468,49.49747468,0.785398163,0.785398163
3,2040,390,0,0,0,0,1,1,1,1,35,35,49.49747468,49.49747468,0.785398163,0.785398163
2,2180,690,0,0,0,0,1,1,1,1,35,35,49.49747468,49.49747468,0.785398163,0.785398163
1,2250,690,0,0,0,0,1,1,1,1,35,35,49.49747468,49.49747468,0.785398163,0.785398163
1,2320,690,0,0,0,0,1,1,1,1,35,35,49.49747468,49.49747468,0.785398163,0.785398163
1,2390,690,0,0,0,0,1,1,1,1,35,35,49.49747468,49.49747468,0.785398163,0.785398163
1,2460,690,0,0,0,0,1,1,1,1,35,35,49.49747468,49.49747468,0.785398163,0.785398163
1,2530,690,0,0,0,0,1,1,1,1,35,35,49.49747468,49.49747468,0.785398163,0.785398163
1,2600,690,0,0,0,0,1,1,1,1,35,35,49.49747468,49.49747468,0.785398163,0.785398163
1,2670,690,0,0,0,0,1,1,1,1,35,35,49.49747468,49.49747468,0.785398163,0.785398163
3,2740,690,0,0,0,0,1,1,1,1,35,35,49.49747468,49.49747468,0.785398163,0.785398163
